,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
1710,21.0,,27.0,,24.0,3.0
1714,6.0,,,,6.0,0.0
1716,23.0,,,,23.0,0.0
1717,21.0,,,,21.0,0.0
1718,42.0,,19.0,,30.5,11.5
1742,26.0,,,,26.0,0.0
1753,29.0,,4.0,,16.5,12.5
1765,8.0,,,,8.0,0.0
1770,31.0,,,4.0,17.5,13.5
1774,28.0,29.0,,,28.5,0.5
1778,43.0,,,,43.0,0.0
1780,20.0,,,,20.0,0.0
1790,4.0,,,4.0,4.0,0.0
1815,20.0,,,,20.0,0.0
1823,24.0,26.0,,,25.0,1.0
1839,8.0,25.0,7.0,,13.333333333333334,8.259674462242577
1848,29.0,,,,29.0,0.0
1849,4.0,7.0,,,5.5,1.5
1851,6.0,,,,6.0,0.0
1855,23.0,,,7.0,15.0,8.0
1858,21.0,,,,21.0,0.0
1861,24.0,,,29.0,26.5,2.5
1874,30.0,,,,30.0,0.0
1883,17.0,7.0,,,12.0,5.0
1886,4.0,,,,4.0,0.0
1892,25.0,,,,25.0,0.0
1893,20.0,,20.0,,20.0,0.0
1905,6.0,,49.0,,27.5,21.5
1916,27.0,,,,27.0,0.0
1921,23.0,,,,23.0,0.0
1922,26.0,,26.0,,26.0,0.0
1933,4.0,,,,4.0,0.0
1934,6.0,,,,6.0,0.0
1937,30.0,,,,30.0,0.0
1943,21.0,,,,21.0,0.0
1947,42.0,20.0,,,31.0,11.0
1951,6.0,,,,6.0,0.0
1955,7.0,,4.0,,5.5,1.5
1956,29.0,,,,29.0,0.0
1972,29.0,,,,29.0,0.0
1975,4.0,,,,4.0,0.0
1978,21.0,30.0,,,25.5,4.5
1980,20.0,,6.0,,13.0,7.0
1981,41.0,,,20.0,30.5,10.5
1984,43.0,,,,43.0,0.0
1986,30.0,,,,30.0,0.0
1990,7.0,,,,7.0,0.0
1992,4.0,7.0,,,5.5,1.5
1995,27.0,,,29.0,28.0,1.0
1997,20.0,,,4.0,12.0,8.0
2003,20.0,,,,20.0,0.0
2004,19.0,21.0,,,20.0,1.0
2008,18.0,,,,18.0,0.0
2015,17.0,41.0,4.0,22.0,21.0,13.285330255586423
2031,4.0,,,,4.0,0.0
2047,42.0,,,,42.0,0.0
2057,7.0,,,,7.0,0.0
2073,21.0,,18.0,8.0,15.666666666666666,5.557777333511022
2084,6.0,,,,6.0,0.0
2090,4.0,,,,4.0,0.0
2104,20.0,42.0,20.0,,27.333333333333332,10.370899457402697
2108,4.0,,30.0,30.0,21.333333333333332,12.256517540566824
2110,5.0,,,,5.0,0.0
2111,30.0,,,,30.0,0.0
2116,4.0,,4.0,,4.0,0.0
2121,25.0,20.0,,,22.5,2.5
2130,28.0,,,,28.0,0.0
2139,19.0,,,,19.0,0.0
2158,20.0,,,,20.0,0.0
2161,19.0,,,,19.0,0.0
2166,29.0,,,,29.0,0.0
2167,24.0,,,,24.0,0.0
2169,21.0,19.0,,,20.0,1.0
2172,21.0,,,7.0,14.0,7.0
2173,20.0,19.0,,,19.5,0.5
2185,6.0,,29.0,,17.5,11.5
2193,6.0,,,23.0,14.5,8.5
2194,4.0,41.0,,,22.5,18.5
2205,24.0,17.0,4.0,,15.0,8.286535263104035
2212,30.0,4.0,43.0,,25.666666666666668,16.21384867602041
2217,28.0,,,,28.0,0.0
2243,19.0,17.0,4.0,4.0,11.0,7.035623639735144
2250,30.0,,,,30.0,0.0
2258,28.0,28.0,,,28.0,0.0
2271,7.0,,,,7.0,0.0
2275,5.0,25.0,29.0,,19.666666666666668,10.498677165349081
2283,42.0,,,,42.0,0.0
2284,4.0,,,,4.0,0.0
2293,29.0,,,26.0,27.5,1.5
2299,4.0,,19.0,,11.5,7.5
2316,43.0,,,,43.0,0.0
2319,24.0,,,,24.0,0.0
2327,4.0,,40.0,,22.0,18.0
2341,18.0,6.0,,,12.0,6.0
2353,22.0,,,,22.0,0.0
2361,17.0,,24.0,,20.5,3.5
2374,17.0,,,,17.0,0.0
2389,21.0,28.0,,,24.5,3.5
2392,20.0,,,,20.0,0.0
2404,21.0,,,,21.0,0.0
2414,17.0,,,,17.0,0.0
2429,21.0,,,4.0,12.5,8.5
2431,18.0,,,,18.0,0.0
2432,4.0,,,,4.0,0.0
2436,30.0,,,,30.0,0.0
2438,27.0,,22.0,,24.5,2.5
2443,5.0,19.0,,,12.0,7.0
2444,24.0,,,,24.0,0.0
2448,24.0,,,,24.0,0.0
2465,42.0,,21.0,,31.5,10.5
2473,21.0,,,,21.0,0.0
2475,22.0,,,,22.0,0.0
2487,6.0,,6.0,,6.0,0.0
2496,20.0,,,,20.0,0.0
2498,28.0,,21.0,,24.5,3.5
2502,25.0,4.0,,,14.5,10.5
2504,20.0,4.0,21.0,,15.0,7.788880963698615
2510,4.0,,,31.0,17.5,13.5
2519,29.0,,,21.0,25.0,4.0
2534,4.0,,,,4.0,0.0
2549,43.0,,,,43.0,0.0
2553,21.0,,,,21.0,0.0
2580,30.0,4.0,7.0,,13.666666666666666,11.614167593456232
2586,8.0,4.0,21.0,,11.0,7.2571803523590805
2591,24.0,,,,24.0,0.0
2602,42.0,,,,42.0,0.0
2606,19.0,21.0,4.0,,14.666666666666666,7.586537784494029
2612,7.0,24.0,,,15.5,8.5
2615,4.0,,24.0,,14.0,10.0
2619,24.0,,,,24.0,0.0
2621,22.0,,,,22.0,0.0
2630,25.0,,,,25.0,0.0
2640,7.0,,,,7.0,0.0
2652,24.0,4.0,,20.0,16.0,8.640987597877148
2661,6.0,,,,6.0,0.0
2666,43.0,,,,43.0,0.0
2667,22.0,,,23.0,22.5,0.5
2668,19.0,,,,19.0,0.0
2670,4.0,,,,4.0,0.0
2677,8.0,,,,8.0,0.0
2720,7.0,,19.0,,13.0,6.0
2733,4.0,,,,4.0,0.0
2735,24.0,,,18.0,21.0,3.0
2745,30.0,,,26.0,28.0,2.0
2746,5.0,,,,5.0,0.0
2769,19.0,,,,19.0,0.0
2770,19.0,23.0,,,21.0,2.0
2771,4.0,,42.0,,23.0,19.0
2775,6.0,,7.0,,6.5,0.5
2791,31.0,,,,31.0,0.0
2793,7.0,,,,7.0,0.0
2795,26.0,,42.0,,34.0,8.0
2800,29.0,,,,29.0,0.0
2806,19.0,,,,19.0,0.0
2818,29.0,,,8.0,18.5,10.5
2831,4.0,,,,4.0,0.0
2835,21.0,,,,21.0,0.0
2847,7.0,,,,7.0,0.0
2855,28.0,,,,28.0,0.0
2856,23.0,,21.0,,22.0,1.0
2859,21.0,,,4.0,12.5,8.5
2862,19.0,20.0,,,19.5,0.5
2874,4.0,20.0,,,12.0,8.0
2902,22.0,,,,22.0,0.0
2904,21.0,,,41.0,31.0,10.0
2911,4.0,,,,4.0,0.0
2950,19.0,30.0,,7.0,18.666666666666668,9.392668535736915
2955,4.0,,,,4.0,0.0
2961,4.0,,,,4.0,0.0
2962,4.0,,,,4.0,0.0
2968,22.0,7.0,24.0,29.0,20.5,8.200609733428363
2971,23.0,,,,23.0,0.0
2975,19.0,,,,19.0,0.0
2980,6.0,,4.0,,5.0,1.0
2982,8.0,,6.0,,7.0,1.0
2994,19.0,,,,19.0,0.0
2997,21.0,,,18.0,19.5,1.5
3001,4.0,,,,4.0,0.0
3007,22.0,,20.0,,21.0,1.0
3013,7.0,,,,7.0,0.0
3015,7.0,,,,7.0,0.0
3023,23.0,,,,23.0,0.0
3025,21.0,,,,21.0,0.0
3029,6.0,,,,6.0,0.0
3031,25.0,,,,25.0,0.0
3038,18.0,,,,18.0,0.0
3041,17.0,,,,17.0,0.0
3053,27.0,,,24.0,25.5,1.5
3062,25.0,,,,25.0,0.0
3075,29.0,,,,29.0,0.0
3082,25.0,,,28.0,26.5,1.5
3086,21.0,,29.0,,25.0,4.0
3091,28.0,,,,28.0,0.0
3093,27.0,,,,27.0,0.0
3100,24.0,,,,24.0,0.0
3101,20.0,26.0,,,23.0,3.0
3126,4.0,,,25.0,14.5,10.5
3130,6.0,,,24.0,15.0,9.0
3140,42.0,,,,42.0,0.0
3144,17.0,,18.0,,17.5,0.5
3156,7.0,,31.0,,19.0,12.0
3157,29.0,,,,29.0,0.0
3174,21.0,,,,21.0,0.0
3178,19.0,,,,19.0,0.0
3198,25.0,23.0,42.0,22.0,28.0,8.154753215150045
3203,20.0,,,,20.0,0.0
3205,20.0,,,4.0,12.0,8.0
3206,5.0,31.0,,,18.0,13.0
3211,4.0,,,,4.0,0.0
3213,4.0,,,,4.0,0.0
3225,23.0,,,,23.0,0.0
3230,20.0,,,7.0,13.5,6.5
3240,20.0,,29.0,,24.5,4.5
3247,7.0,,,,7.0,0.0
3251,6.0,,,,6.0,0.0
3253,4.0,,,,4.0,0.0
3255,8.0,,,,8.0,0.0
3264,24.0,,,,24.0,0.0
3265,24.0,,,23.0,23.5,0.5
3266,27.0,28.0,24.0,,26.333333333333332,1.699673171197595
3271,4.0,,,4.0,4.0,0.0
3279,7.0,,,,7.0,0.0
3282,24.0,4.0,,24.0,17.333333333333332,9.428090415820632
3296,28.0,,,,28.0,0.0
3304,4.0,,,,4.0,0.0
3311,7.0,,29.0,,18.0,11.0
3313,4.0,,,,4.0,0.0
3346,21.0,,,,21.0,0.0
3353,24.0,20.0,,,22.0,2.0
3355,22.0,,,30.0,26.0,4.0
3369,4.0,8.0,20.0,,10.666666666666666,6.79869268479038
3372,21.0,,42.0,,31.5,10.5
3373,27.0,,,29.0,28.0,1.0
3376,23.0,,,,23.0,0.0
3383,25.0,,,,25.0,0.0
3401,7.0,,,,7.0,0.0
3411,27.0,,,,27.0,0.0
3422,30.0,20.0,,,25.0,5.0
3428,23.0,,,18.0,20.5,2.5
3429,25.0,30.0,,,27.5,2.5
3431,4.0,,,,4.0,0.0
3438,22.0,,,,22.0,0.0
3440,42.0,,,24.0,33.0,9.0
3444,4.0,,,,4.0,0.0
3451,31.0,,,,31.0,0.0
3465,31.0,19.0,4.0,,18.0,11.045361017187261
3478,8.0,,,21.0,14.5,6.5
3481,4.0,,31.0,,17.5,13.5
3484,25.0,,,,25.0,0.0
3492,4.0,,,,4.0,0.0
3502,19.0,,,,19.0,0.0
3507,6.0,,,,6.0,0.0
3511,23.0,,,,23.0,0.0
3512,21.0,,,,21.0,0.0
3519,4.0,,25.0,27.0,18.666666666666668,10.402991022884823
3521,24.0,,,,24.0,0.0
3527,30.0,,,,30.0,0.0
3534,8.0,,,,8.0,0.0
3535,8.0,,,,8.0,0.0
3542,19.0,,,8.0,13.5,5.5
3543,23.0,,,,23.0,0.0
3549,23.0,,23.0,,23.0,0.0
3552,25.0,,,,25.0,0.0
3554,20.0,,,,20.0,0.0
3565,4.0,17.0,,19.0,13.333333333333334,6.649979114420002
3580,24.0,,,,24.0,0.0
3594,7.0,,,,7.0,0.0
3596,4.0,,,,4.0,0.0
3598,25.0,,,,25.0,0.0
3599,20.0,,,,20.0,0.0
3606,24.0,,,,24.0,0.0
3615,31.0,,,,31.0,0.0
3616,30.0,,,,30.0,0.0
3617,7.0,18.0,,,12.5,5.5
3624,4.0,,,,4.0,0.0
3642,23.0,,,,23.0,0.0
3644,19.0,23.0,,,21.0,2.0
3648,30.0,,,,30.0,0.0
3649,4.0,,23.0,19.0,15.333333333333334,8.178562764256865
3652,4.0,,24.0,,14.0,10.0
3658,7.0,,,,7.0,0.0
3662,26.0,,,,26.0,0.0
3663,23.0,,,,23.0,0.0
3671,19.0,,,,19.0,0.0
3675,20.0,,,,20.0,0.0
3685,28.0,25.0,,,26.5,1.5
3692,22.0,,,,22.0,0.0
3694,19.0,,,,19.0,0.0
3695,20.0,,,,20.0,0.0
3701,4.0,,,,4.0,0.0
3708,19.0,26.0,,,22.5,3.5
3724,20.0,,,,20.0,0.0
3725,19.0,31.0,,,25.0,6.0
3726,4.0,,,,4.0,0.0
3730,4.0,7.0,,,5.5,1.5
3732,20.0,,,,20.0,0.0
3753,4.0,,,,4.0,0.0
3758,25.0,,,,25.0,0.0
3760,22.0,,,,22.0,0.0
3762,20.0,7.0,,20.0,15.666666666666666,6.128258770283412
3806,29.0,,,,29.0,0.0
3814,4.0,,,,4.0,0.0
3823,28.0,,,,28.0,0.0
3825,25.0,,,,25.0,0.0
3829,22.0,23.0,,,22.5,0.5
3833,19.0,,,,19.0,0.0
3844,6.0,,,20.0,13.0,7.0
3845,4.0,,21.0,,12.5,8.5
3861,17.0,,,,17.0,0.0
3870,7.0,,,,7.0,0.0
3885,21.0,,,,21.0,0.0
3897,25.0,,4.0,,14.5,10.5
3898,41.0,42.0,,,41.5,0.5
3904,4.0,,,,4.0,0.0
3907,30.0,,,,30.0,0.0
3911,4.0,5.0,,,4.5,0.5
3913,29.0,,,,29.0,0.0
3923,30.0,,,24.0,27.0,3.0
3924,29.0,,,,29.0,0.0
3927,23.0,,,,23.0,0.0
3928,20.0,,,,20.0,0.0
3931,20.0,,,,20.0,0.0
3933,43.0,,19.0,,31.0,12.0
3940,8.0,,,,8.0,0.0
3947,24.0,4.0,,,14.0,10.0
3949,22.0,,22.0,,22.0,0.0
3959,43.0,,,,43.0,0.0
3960,42.0,,,,42.0,0.0
3966,18.0,4.0,17.0,,13.0,6.377042156569663
3982,7.0,,,,7.0,0.0
3985,31.0,,,,31.0,0.0
3988,23.0,,21.0,24.0,22.666666666666668,1.247219128924647
3991,25.0,4.0,,20.0,16.333333333333332,8.956685895029603
3995,41.0,,6.0,,23.5,17.5
3997,19.0,,,,19.0,0.0
3998,30.0,,,42.0,36.0,6.0
4000,19.0,,,,19.0,0.0
4001,30.0,,,,30.0,0.0
4005,21.0,,,,21.0,0.0
4006,44.0,,,,44.0,0.0
4022,21.0,,,,21.0,0.0
4026,31.0,,,42.0,36.5,5.5
4047,4.0,,,,4.0,0.0
4048,7.0,30.0,22.0,,19.666666666666668,9.533566430716728
4057,27.0,17.0,,,22.0,5.0
4065,26.0,,27.0,,26.5,0.5
4073,20.0,,,,20.0,0.0
4078,4.0,,,,4.0,0.0
4082,7.0,,,,7.0,0.0
4086,23.0,,,,23.0,0.0
4092,24.0,,,,24.0,0.0
4097,21.0,,6.0,,13.5,7.5
4103,8.0,,,31.0,19.5,11.5
4111,23.0,,,,23.0,0.0
4129,18.0,23.0,,,20.5,2.5
4130,7.0,24.0,,,15.5,8.5
4135,30.0,,,,30.0,0.0
4145,20.0,23.0,29.0,,24.0,3.7416573867739413
4147,20.0,,27.0,,23.5,3.5
4154,24.0,,,,24.0,0.0
4155,29.0,,,,29.0,0.0
4173,23.0,,19.0,,21.0,2.0
4181,23.0,,,,23.0,0.0
4192,4.0,,,,4.0,0.0
4193,30.0,,,,30.0,0.0
4195,25.0,25.0,,4.0,18.0,9.899494936611665
4196,4.0,,,7.0,5.5,1.5
4200,30.0,27.0,,,28.5,1.5
4218,20.0,,,,20.0,0.0
4227,7.0,22.0,,30.0,19.666666666666668,9.533566430716728
4228,8.0,,,,8.0,0.0
4238,25.0,,4.0,,14.5,10.5
4239,28.0,,4.0,,16.0,12.0
4251,24.0,4.0,,30.0,19.333333333333332,11.115554667022044
4253,4.0,,24.0,,14.0,10.0
4266,24.0,,,,24.0,0.0
4272,21.0,25.0,,,23.0,2.0
4305,42.0,,,,42.0,0.0
4316,4.0,,,,4.0,0.0
4318,4.0,,,,4.0,0.0
4325,4.0,,6.0,,5.0,1.0
4327,24.0,21.0,,,22.5,1.5
4330,20.0,,26.0,22.0,22.666666666666668,2.494438257849294
4332,18.0,,27.0,,22.5,4.5
4336,6.0,,,24.0,15.0,9.0
4343,30.0,,,21.0,25.5,4.5
4345,25.0,,29.0,,27.0,2.0
4350,43.0,,,,43.0,0.0
4353,18.0,,4.0,,11.0,7.0
4358,25.0,,,,25.0,0.0
4361,21.0,,,,21.0,0.0
4365,44.0,,17.0,,30.5,13.5
4366,20.0,4.0,,,12.0,8.0
4367,31.0,,20.0,26.0,25.666666666666668,4.496912521077347
4368,30.0,,,,30.0,0.0
4378,21.0,7.0,,,14.0,7.0
4383,25.0,,,,25.0,0.0
4395,24.0,,,,24.0,0.0
4427,6.0,,,,6.0,0.0
4430,23.0,,21.0,,22.0,1.0
4434,43.0,,,,43.0,0.0
4438,18.0,24.0,,,21.0,3.0
4443,4.0,,,21.0,12.5,8.5
4448,7.0,,31.0,,19.0,12.0
4451,26.0,,,,26.0,0.0
4453,20.0,,23.0,,21.5,1.5
4457,23.0,,18.0,21.0,20.666666666666668,2.0548046676563256
4464,20.0,,,,20.0,0.0
4466,42.0,,,,42.0,0.0
4467,18.0,,19.0,,18.5,0.5
4470,6.0,,,,6.0,0.0
4485,21.0,,7.0,29.0,19.0,9.092121131323903
4487,4.0,,,,4.0,0.0
4490,24.0,,23.0,,23.5,0.5
4500,7.0,,,,7.0,0.0
4501,29.0,,42.0,,35.5,6.5
4504,4.0,6.0,21.0,,10.333333333333334,7.586537784494029
4518,30.0,,,,30.0,0.0
4519,7.0,7.0,,,7.0,0.0
4527,19.0,,,,19.0,0.0
4528,42.0,21.0,,,31.5,10.5
4530,44.0,,,,44.0,0.0
4532,8.0,,,,8.0,0.0
4534,30.0,,,,30.0,0.0
4541,24.0,,,,24.0,0.0
4545,4.0,,,,4.0,0.0
4556,18.0,4.0,24.0,,15.333333333333334,8.379870059984357
4559,25.0,,,28.0,26.5,1.5
4561,20.0,,,22.0,21.0,1.0
4567,19.0,,,31.0,25.0,6.0
4594,19.0,,,,19.0,0.0
4596,19.0,,,,19.0,0.0
4602,7.0,,,,7.0,0.0
4611,22.0,23.0,,,22.5,0.5
4612,42.0,23.0,,,32.5,9.5
4613,22.0,,,,22.0,0.0
4617,4.0,,,,4.0,0.0
4630,6.0,,,,6.0,0.0
4648,21.0,20.0,18.0,,19.666666666666668,1.247219128924647
4657,4.0,30.0,,,17.0,13.0
4658,24.0,,,,24.0,0.0
4668,4.0,,,,4.0,0.0
4691,23.0,,,,23.0,0.0
4695,24.0,,,,24.0,0.0
4706,7.0,,,7.0,7.0,0.0
4708,4.0,,,,4.0,0.0
4723,23.0,8.0,,19.0,16.666666666666668,6.342099196813483
4739,29.0,,,,29.0,0.0
4743,25.0,,,,25.0,0.0
4748,19.0,,,,19.0,0.0
4760,4.0,,,,4.0,0.0
4761,30.0,,,,30.0,0.0
4762,29.0,,,,29.0,0.0
4774,4.0,,,,4.0,0.0
4785,8.0,,,,8.0,0.0
4799,28.0,22.0,,,25.0,3.0
4809,7.0,,,,7.0,0.0
4814,7.0,,,,7.0,0.0
4833,21.0,,,,21.0,0.0
4843,4.0,,,,4.0,0.0
4856,30.0,,,,30.0,0.0
4857,29.0,,,,29.0,0.0
4861,21.0,,,,21.0,0.0
4865,22.0,,,,22.0,0.0
4886,4.0,,,,4.0,0.0
4898,42.0,,,24.0,33.0,9.0
4904,30.0,,,,30.0,0.0
4907,30.0,,,,30.0,0.0
4924,22.0,,,4.0,13.0,9.0
4925,21.0,,,4.0,12.5,8.5
4928,4.0,24.0,,,14.0,10.0
4935,27.0,,,,27.0,0.0
4938,20.0,,,,20.0,0.0
4941,18.0,,,,18.0,0.0
4945,20.0,,,,20.0,0.0
4954,4.0,,,,4.0,0.0
4958,22.0,,,20.0,21.0,1.0
4962,22.0,,,4.0,13.0,9.0
4965,24.0,,30.0,,27.0,3.0
4969,43.0,,,,43.0,0.0
4974,19.0,,,,19.0,0.0
4975,19.0,,,,19.0,0.0
4995,19.0,,21.0,,20.0,1.0
4999,6.0,,,,6.0,0.0
5013,17.0,,7.0,,12.0,5.0
5020,27.0,,,,27.0,0.0
5027,19.0,,,,19.0,0.0
5028,7.0,,,,7.0,0.0
5035,25.0,,30.0,,27.5,2.5
5048,20.0,,19.0,,19.5,0.5
5050,4.0,,,,4.0,0.0
5054,7.0,,,,7.0,0.0
5059,24.0,,,,24.0,0.0
5078,17.0,,,,17.0,0.0
5084,7.0,30.0,,20.0,19.0,9.41629792788369
5100,25.0,,31.0,,28.0,3.0
5108,21.0,,,,21.0,0.0
5110,4.0,,,30.0,17.0,13.0
5142,24.0,,,19.0,21.5,2.5
5148,21.0,,,,21.0,0.0
5152,4.0,29.0,,4.0,12.333333333333334,11.785113019775793
5160,4.0,,,,4.0,0.0
5176,20.0,20.0,,,20.0,0.0
5188,7.0,4.0,43.0,,18.0,17.72004514666935
5197,22.0,,,,22.0,0.0
5200,28.0,7.0,,24.0,19.666666666666668,9.104333522498443
5202,4.0,,23.0,,13.5,9.5
5205,19.0,,,30.0,24.5,5.5
5214,25.0,,42.0,,33.5,8.5
5229,21.0,,,,21.0,0.0
5244,30.0,,,,30.0,0.0
5249,26.0,24.0,,,25.0,1.0
5267,21.0,,,,21.0,0.0
5270,19.0,8.0,,,13.5,5.5
5280,4.0,,,,4.0,0.0
5282,8.0,,,,8.0,0.0
5290,19.0,,,,19.0,0.0
5300,26.0,,,,26.0,0.0
5311,19.0,,,,19.0,0.0
5315,7.0,,,,7.0,0.0
5319,31.0,23.0,,,27.0,4.0
5339,20.0,,,,20.0,0.0
5349,4.0,,,,4.0,0.0
5362,4.0,24.0,,,14.0,10.0
5372,27.0,,,,27.0,0.0
5374,18.0,,,,18.0,0.0
5378,7.0,,,23.0,15.0,8.0
5379,31.0,,,,31.0,0.0
5381,8.0,,17.0,,12.5,4.5
5388,20.0,,,,20.0,0.0
5390,23.0,,,,23.0,0.0
5395,19.0,,,,19.0,0.0
5399,7.0,21.0,,,14.0,7.0
5400,4.0,,21.0,19.0,14.666666666666666,7.586537784494028
5402,4.0,,,,4.0,0.0
5415,24.0,7.0,,,15.5,8.5
5425,8.0,,,,8.0,0.0
5426,4.0,,,,4.0,0.0
5433,25.0,,,,25.0,0.0
5441,4.0,,,,4.0,0.0
5452,8.0,,,,8.0,0.0
5455,4.0,,,,4.0,0.0
5471,17.0,,,,17.0,0.0
5483,,,,43.0,43.0,0.0
5484,4.0,,,,4.0,0.0
5487,6.0,,,,6.0,0.0
5489,,,,23.0,23.0,0.0
5498,,,,,,
5508,,,,,,
5509,,,,,,
5511,,,,30.0,30.0,0.0
